key,en,fr,fr_CA,fr_FR,da,ru,sv,de,es,pt
CompetitionBook.WXT_LeftHeader,Team  Ranking (Custom),Classement par équipes (Spécial),Classement par équipes (Spécial) - Team Ranking (Custom),,Hold Placering (Speciel),Командный рейтинг (пользовательский),Förenings rankning (Anpassad),Platzierung Verein (benutzerdefiniert),Puntuación por equipos (Personalizado),Classificação por Equipe (personalizada)
CompetitionBook.WXT_RightHeader,Women,Femmes,Femmes - Women,,Kvinder,Женщины,Damer,weiblich,Femenino,Feminino
CompetitionDocuments_description,<li><b>{0}</b>: Produce printable documents for each group and the final results package.</li>,<li><b>{0}</b>: Produire les résultats imprimables pour chaque groupe et le cahier de compétition .</li>,,,<li><b>{0}</b>: Dan print for hver enkelt gruppe og samlet resultat pakke.</li>,<li><b>{0}</b>: Подготовьте документы для печати для каждого из потоков и пакет итоговых результатов</li>,<li><b>{0}</b>: Skapa utskrivbara dokument för varje grupp och det slutliga resultatpaketet.</li>,<li><b>{0}</b>: Erstelle ein druckbares Dokumenten-Paket für jede Gruppe mit den endgültigen Ergebnissen.</li>,<li><b>{0}</b>: Producir documentos imprimibles para cada grupo y el paquete de resultados finales.</li>,<li> <b>{0}</b>:. Gerar os documentos imprimíveis para cada grupo e o pacote de resultados finais.</li>
CompetitionInformation,Competition Information,Informations sur la compétition,,,Stævneinformation,Информация о соревновании,Tävlnings information,Wettkampf Info,Información de la Competición,Informação Sobre a Competição
CompetitionPlatform,Competition Platform,Plateau de compétition,,,Stævne platform,Помост,Tävlings plattform,Wettkampf Bohle,Plataforma de Competencia,Plataforma de Competição
Copyright2009,This software is Copyright © 2009-,Ce logiciel est sous droit d'auteur - Copyright © 2009-,,,This software is Copyright © 2009-,Это программное обеспечение является авторским правом © 2009-,Denna programvara är upphovsrättsskyddad ¬© 2009-,Diese Software ist Copyright 2009-,This software is Copyright © 2009-,Este software é protegido por Copyright © 2009-
CopyrightLicense,Copyright and License,Licence et droits d'auteur,,,Copyright and License,Авторское право и лицензия,Upphovsrättsskydd och Licens,Copyright und Lizenz,Copyright and License,Direitos Autorais e Licença
CountdownType,Countdown Type,Type de décompte,,,Nedtællingstype,Тип таймера,Nedräckningstyp,Countdown Typ,Tipo de Cuenta Regresiva,Tipo de Contagem Regressiva
CountdownType.DURATION,Duration,Durée,,,Varighed,Длительность,Varaktighet,Dauer,Duración,Duração
CountdownType.INDEFINITE,Wait,Attente,,,Vent,Не определен,Vänta,Warte,Esperar,Esperar
CountdownType.TARGET,Start at,Débuter à,,,Start,До указанного времени,Börja på,Starte um,Empieza en,Começa ás
CountdownType.Title,Countdown Type,Type de décompte,,,Nedtællingstype,Тип таймера,Nedräckningstyp,Countdown Typ,Tipo de cuenta regresiva,Tipo de Contagem Regressiva
Credits,Credits,Remerciements,,,Credits,Создатели,Medverkande,Credits,Creditos,Créditos
DataRead,Read,Lu,,,Læs,Чтение,Läs,Lese,Leer,Ler
Decision_AF_,Decision (Athlete-Facing),Decision (face à l'athlète),,,Afgørelse (AV),Решение (лицом к спортсмену),Beslut (AF),Wertung (AF),Decisión (Mirando al Atleta),Decisão (voltada para o atleta)
Declaration,Declaration,Déclaration,,,Deklareret,Заявленный вес,Begärt,Meldung,Declaración,Declaração
Declaration_current_athlete,Declaration for current athlete<br>{0},Déclaration pour l''athlète courant<br>{0},,,Deklareret for nuværende atlet<br>{0},Заявленный вес для текущего спортсмена<br>{0},Begärt för nuvarande atlet<br>{0},Meldung für den aktuellen Athleten<br>{0},Declaración para el Atleta actual<br>{0},Declaração para o atleta atual <br> {0}
Declaration_current_athlete_with_change,Declaration (with weight change) for current athlete<br>{0},Déclaration (avec changement de poids) pour l''athlète courant<br>{0},,,Deklareret (inkl. øgning) for nuværende atlet<br>{0},Заявленный вес (с учетом перезаявок) для текущего спортсмена<br>{0},Begärt (med vikt ändringar) för nuvarande atlet<br>{0},Meldung (mit Steigerung) für den aktuellen Athleten<br>{0},Declaración (con cambio de peso) para Atleta actual<br>{0},Declaração (com alteração de peso) para o atleta atual<br> {0}
Declaration_Notification,Declaration for {0}: {1},Déclaration pour {0}: {1},,,Ønsket vægt for {0}: {1},Заявленный вес для {0}: {1} кг,Begärt för {0}: {1},Meldung für {0}: {1},Declaración para {0}: {1},Declaração para {0}: {1}
DefineCategories,Define Categories,Définir les catégories,,,Definér Kategorier,Категории,Definerade klasser,Definiere Gewichtsklassen,Definir Categorías,Definir Categorias
DefineFOP,Define Fields of Play and Sound Output,Définir les plateaux et les sorties sonores,,,Opret platform,Помосты,Definiera fält för uppspelning och ljudutgång,Bohlen und Soundausgabe definieren,Definir campos de juego y salida de sonido,Definir Campo de Reprodução e Saída de Som
DefineGroups,Define Groups,Définir les groupes,,,Definér grupper,Потоки,Definierade grupper,Definiere Gruppen,Definir Grupos,Definir Grupos
Delete,Delete,Détruire,,,Slet,Удалить,Radera,Lösche,Eliminar,Excluir
Delete_title,Delete {0},Effacer {0},,,Slet {0},Удалить {0},Radera {0},Lösche {0},Eliminar {0},Excluir {0}
DeleteAthletes,Delete Athletes,Détruire athlètes,,,Slet løftere,Удалить спортсменов,Radera atleter,Lösche Athleten,Borrar atletas,Excluir Atletas
DeleteAthletes_forListed,Delete Athletes Currently Listed,Détruire athlètes actuellement listés,,,Slet valgte atleter,Удалить перечисленных спортсменов,Radera listade atleter,Lösche angezeigte Athleten,Eliminar atletas actualmente en la lista,Excluir Atletas Atualmente Listados
Display,Display,Afficher,,,Display,Экран,Skärm,Bildschirm,Marcador,Exibição
DisplayType.LIFT_INFO,Attempt Info,Information sur l'essai,,,Nuværende forsøg,Информация о попытке,Försöks information,Versuch Info,Información Tentativa,Informações da Tentativa
DisplayType.COUNTDOWN_INFO,Countdown clock,Horloge de décompte,,,Nedtællingsur,Таймер,Nedräkningsklocka,Countdown Uhr,Reloj de Cuenta Regresiva,Relógio de Contagem Regressiva
DisplayType.Title,Attempt Board Information,Information sur l'écran d'essai courant,,,Attempt Board Information,Экран попытки,Försöks skärms information,Versuchsanzeige Information,Información Tablero de Intentos,Quadro de Informação de Tentativas
Documentation,<li>See also the <a href='https://owlcms.github.io/owlcms4/#/index'>documentation</a> for\u0020installation and configuration information.,<li>Voir aussi la <a href='https://owlcms.github.io/owlcms4/#/index'>documentation</a> pour\u0020instructions d'installation et de configuration,,,<li>Se endvidere dokumentation på <a href='https://owlcms.github.io/owlcms4/#/index'>documentation</a> for\u0020installation and configuration information.,См. также<a href='https://owlcms.github.io/owlcms4/#/index'> документацию</a> для\u0020инструкция по установке и настройке.,<li>Se även <a href='https://owlcms.github.io/owlcms4/#/index'>dokumentation</a> för\u0020installation och konfigurations information.,<li>Siehe auch die <a href='https://owlcms.github.io/owlcms4/#/index'>Dokumentation</a> für\u0020Installations- und Konfigurationsinformationen.,<li> Consulte también la <a href='https://owlcms.github.io/owlcms4/#/index'> documentación </a> para obtener información sobre la instalación y la configuración.,<li>Veja também o <a href='https://owlcms.github.io/owlcms4/#/index'>documentação</a> para instalação e informações de configuração.
Documentation_Menu,Documentation,Documentation,,,Dokumentation,Документация,Dokumentation,Dokumentation,Documentación,Documentação
Done,done,terminé,,,afsluttet,завершена,klar,Fertig,Terminada,Concluído
Done_period,Done.,Terminé,,,Afsluttet.,Завершено.,Klar.,Fertig.,Hecho,Feito.
DownloadRegistrationTemplate,Download Empty Registration Spreadsheet,Obtenir une feuille d'inscription vide,,,Download Tomt Registreringsark,Скачать шаблон таблицы регистрации,Ladda ner ett tomt registreringsformulär,Download leere Registrierungs-Tabelle,Descargar hoja de calculo vacia,Baixar a Planilha de Registro em Branco
DrawLotNumbers,Draw Lot Numbers,Tirage au sort,,,Tildel lodt. numre,Жеребьёвка,Skapa lottnummer,Generiere Losnummern,Numeros Aleatorios,Realizar Sorteio
Dropdown_Select_Platform,Use the dropdown to select the platform where the display is located.,Utilisez le menu déroulant pour choisir le plateau de compétition où se trouve l'affichage,,,Brug dropdown for at vælge den platform som displayet er tilknyttet.,Используйте выпадающее меню для выбора помоста на котором находится экран.,Använd rullgardinsmenyn för att välja plattformen där skärmen finns.,"Verwende das Dropdown-Menü, um die Plattform auszuwählen, an der sich die Anzeige befindet.",Usa el menú desplegable para seleccionar la plataforma donde se encuentra la pantalla.,Use a lista suspensa para selecionar a plataforma onde o monitor está localizado.
Edit_Groups,Edit Groups,Éditer les groupes,,,Ret grupper,Редактирование потоков,Redigera grupper,Bearbeite Gruppen,Editar Grupos,Editar Grupos
EditAthletes,Edit Athlete Entries,Éditer les athlètes,,,Ret tilmeldingsdata for Atleter,Редактировать спортсменов,Redigera Atleter,Bearbeite Meldungen der Sportler,Editar Entrada del Atleta,Editar Entrada do Atleta
EditAthletes_Groups,Edit Athlete Entries (adjust group assignments),Éditer les athlètes (ajuster l'assignation des groupes),,,Ret tilmeldingsdata for Atleter (ret gruppe tildeling),Редактировать спортсменов (изменение групп),Redigera atleter (ändra gruppuppgifter),Bearbeite Meldungen der Sportler (Gruppenzuordnung anpassen),Editar Entrada del Atleta (ajustar la Asignación de Grupo),Editar Entrada dos Atletas (Configuração de Grupo)
EditCategories,Edit Categories,Éditer les catégories,,,Ret kategorier,Редактировать категории,Redigera klasser,Bearbeite Gewichtsklassen,Editar Categorías,Editar Categorias
EditCompetitionInformation,Edit Competition Information,Éditer les données sur la compétition,,,Ret data om konkurrencen,Редактировать информацию о соревновании,Redigera tävlingsinformation,Bearbeite Wettkampf Informationen,Editar Información de Competencia,Editar informações da Competição
EditingResults_logging,"Group {} lifting on {}, editing","Groupe {} lève sur plateau {}, édition",,,"Gruppe {} løfter på {}, retter",Редактирование потока {} на помосте {},"Grupp {} Lyfter på {}, redigering","Gruppe {} hebt auf {}, bearbeiten","Grupo {} Levantando {}, edición","Grupo {} levantamento em {}, edição"
EditPlatforms,Edit Platforms,Éditer les plateaux,,,Ret platform(-e),Редактировать помосты,Redigera plattformar,Bearbeite Bohlen,Editar Plataforma,Editar Plataformas
EditRegisteredAthletes,Edit Registered Athletes,Éditer les athlètes inscrits,,,Ret Registrerede Atleter,Редактирование зарегистрированных спортсменов,Redigera registrerade atleter,Bearbeite registrierte Athleten,Editar Atletas Registrados,Editar Atletas Registrados
Eligible,Eligible,Éligible,,,Medregnes,Инд. рейтинг,Inkluderade,Berechtigt,Elegible,Elegível
Eligible for Individual Ranking?,Eligible for individual ranking?,Éligible au classement individuel ?,,,Medregnes i individuel rangering?,Участвует в индивидуальном рейтинге?,Berättigad för inviduell ranking?,Berechtigt auf Einzelwertung?,Elegible para ranking individual?,Elegíveis para o ranking individual?
EndBreak,End Break,Fin de la pause.,,,Afslut pause,Завершить паузу,Avsluta paus,Unterbrechung Ende,Descanso Final,Fim da Pausa
EndBreak_StartLifting,"End Break, Start Lifting","Fin de la pause, débuter les levers",,,"Afslut pause, Start konkurrence","Закончить перерыв, начать соревнования","Avlsuta paus, börja lyftning","Unterbrechung Ende, Starte Hebung","Fin de Descanso, Comenzar a Levantar","Fim da Pausa, Iniciar Competição"
EndOfCompetitionDocuments,End of competition documents,Documents de compétition,,,Konkurrence dokumenter genereret,Документы по окончании соревнований,Slut på tävlingsdokument,Wettkampf Dokumente,Documento Final de Competencia,Documentos Finais da Competição 
EnterPin,Enter PIN,Enter PIN,,,Enter PIN,Введите PIN-код,Ange PIN,Eingabe PIN,Ingrese su Pin,Digite o Código PIN
EntryTotal,Entry Total,Total déclaré,,,Entry Total,Начальный вес заявленный при регистрации (сумма),Ange total,Meldung Gesamt,Total de Entrada,Entrada Total
Error,Error,Erreur,,,Error,Ошибка,Error,Fehler,Error,Erro
Errors,Errors,Erreurs,,,Errors,Ошибки,Errors,Fehler,Errores,Erros
FieldOfPlayDisplays,Field of Play Displays,Affichages sur les plateaux,,,Platform Displays,Экраны помоста,Visningsfält skärm,Feld zum Abspielen der Anzeigen,Campo para Anuncios,Campo Para os Anúncios
FinalResultsPackage,Final Results Package,Compilation des résultats,,,Final Results Pakke,Пакет итоговых результатов,Slutresultatpaket,Endgültiges Ergebnis Paket,Paquete de Resultados Finales,Pacote de Resultados Finais
FirstName,First Name,Prénom,,,Fornavn,Имя,Förnamn,Vorname,Nombre,Nome
ForcedAsCurrent,Forced as Current Athlete,Forcé comme athlète courant,,,Sæt som en nuværende atlet,Принудительно вызвать спортсмена,Sätt som nuvarande lyftare,Erzwinge aktuellen Athleten,Forzado como un atleta actual,Forçar Entrada do Atleta
ForEachCompetitionGroup,For each competition group,Pour chaque groupe,,,For hver gruppe,Для каждого потока,För varje tävlingsgrupp,Für jede Wettkampfgruppe,Para cada Grupo de Competencia,Para Cada Grupo de Competição
Gender,Gender,Genre,,,Køn,Пол,Kön,Geschlecht,Genero,Gênero
GenerateStartNumbers,Generate Start Numbers,Générer les Nº de départ,,,Generér Startnumre,Назначить стартовые номера,Generera startnummer,Generiere Startnummern,Genere números de Inicio,Gerar Números Iniciais
GotIt,Got it.,Compris.,,,Forstået,Понял,Uppfattat.,Verstanden,Entendido.,Entendi.
Group,Group,Groupe,,,Gruppe,Поток,Grupp,Gruppe,Grupo,Grupo
Group_number,Group {0},Groupe {0},,,Gruppe {0},Поток {0},Grupp {0},Gruppe {0},Tanda {0},Grupo {0}
Group_number_done,Group {0} done.,Groupe {0} terminé.,,,Gruppe {0} afsluttet.,Поток {0} завершен.,Grupp {0} klar.,Gruppe {0} fertig,Sesion {0} Terminada.,Grupo {0} Concluído.
Group_number_results,Group {0} &ndash; Results,Groupe {0} &ndash; Résultats.,,,Gruppe {0} &ndash; resultater.,Результаты потока {0},Grupp {0} &ndash; Resultat,Gruppe {0} &ndash; Ergebnisse,Sesion {0} &ndash; Resultados.,Grupo {0}; Resultados
GroupResults,Group Results,Résultats de groupe,,,Gruppe resultater,Результаты потока,Grupp resultat,Gruppen Ergebnisse,Resultados de Grupo,Resultados do Grupo
Home,Home,Accueil,,,Hjem,Главная,Hem,Home,Inicio,início
IdlePlatform,Idle Platform (no countdown displayed),Plateau inactif (pas de décompte affiché),,,Inaktiv Platform (nedtælling vises ikke),Помост не активен (нет обратного отсчета),Inaktiv Platform (Ingen nedräkning visas),leere Bohle (kein Countdown wird angezeigt),Plataforma Inactiva (Sin Pantalla de cuente regresiva),Plataforma Inativa (nenhuma contagem regressiva exibida)
introCountdown,Countdown to Introduction,Décompte avant présentation,,,Nedtælling til præsentation,Таймер до представления спортсменов,Nedräkning till defilering,Countdown bis zur Vorstellung,Cuenta Regresiva para la Introducción,Contagem Regressiva Para a Introdução
InvalidDurationFormat,Duration must be in format {0} -- Type {1} to get {2} minutes and {3} seconds.,La durée doit être dans le format {0} -- Écrire {1} pour dire «{2} minutes et {3} secondes».,,,Varighed skal være i format {0} -- Tast {1} for at angive {2} minutter og {3} sekunder.,Длительность должна быть в формате {0} -- Введите {1} чтобы получить {2} минут и {3} секунд.,Varaktigheten måste vara i format {0} -- Typ {1} för att få {2} minuter och {3} sekunder.,Dauer muss in folgendem Format sein {0} -- Typ {1} fr {2} Minuten und {3} Sekunden.,La duración debe estar en formato {0} -- Tipo {1} llegar {2} minutos y {3} segundos.,Duração deve estar no formato {0} - Tipo {1} para obter {2} minutos e {3} segundos.
JFL,Jean-François Lamy,Jean-François Lamy,,,Jean-François Lamy,Жан-Франсуа Лами,Jean-François Lamy,Jean-François Lamy,Jean-François Lamy,Jean-François Lamy
Jury,Jury,Jury,,,Jury,Жюри,Jury,Jury,Jurado,Júri
Jury_Console,Jury Console,Console du jury,,,Jury,Консоль жюри,Jury konsol,Jury Konsole,Jurado,Terminal do Júri
Jury1,Jury 1,Jury 1,,,Jury 1,Жюри 1,Jury 1,Jury 1,Jurado 1,Júri 1
Jury2,Jury 2,Jury 2,,,Jury 2,Жюри 2,Jury 2,Jury 2,Jurado 2,Júri 2
Jury3,Jury 3,Jury 3,,,Jury 3,Жюри 3,Jury 3,Jury 3,Jurado 3,Júri 3
Jury4,Jury 4,Jury 4,,,Jury 4,Жюри 4,Jury 4,Jury 4,Jurado 4,Júri 4
Jury5,Jury 5,Jury 5,,,Jury 5,Жюри 5,Jury 5,Jury 5,Jurado 5,Júri 5
JuryDecisions,Jury Decisions,Décisions du jury,,,Jury Afgørelse,Решение жюри,Jury Beslut,Jury Entscheidung,Decisiones del jurado,Decisões do Júri
Kg,"{0,number,#.#} kg","{0,number,#.#} kg",,,"{0,number,#.#} kg","{0,number,#.#} кг","{0,number,#.#} kg","{0,number,#.#} kg","{0,numero,#.#} kg","{0,number, #.#} kg"
KgSymbol,kg,kg,,,kg,\u0020кг,kg,Kg,kg,kg
LastName,Last Name,Nom,,,Efternavn,Фамилия,Efternamn,Nachname,Apellido,Sobrenome
LeftMenuNavigate,Use the menu at the left to navigate to the various screens:<ul>,Utilisez le menu à gauche pour naviguer,,,Brug menuen til venstre for at navigere til de forskellige skærme:<ul>,Используйте меню слева для навигации:<ul>,Använd menyn till vänster för att navigera till de olika skärmarna:<ul>,Benutze das Menü auf der linken Seite für die verschiedenen Anzeigen:<ul>,Use el menú de la izquierda para navegar a las diferentes pantallas :<ul>,Use o menu à esquerda para navegar para as várias telas: <ul>
LicenseUsed,This software is made available under the <a href='https://opensource.org/licenses/NPOSL-3.0'>Non-Profit Open Software License 3.0</a>.,Ce logiciel est disponible selon les termes de la licence <a href='https://opensource.org/licenses/NPOSL-3.0'>Non-Profit Open Software License 3.0</a>.,,,This software is made available under the <a href='https://opensource.org/licenses/NPOSL-3.0'>Non-Profit Open Software License 3.0</a>.,Это программное обеспечение доступно под лицензией <a href='https://opensource.org/licenses/NPOSL-3.0'>Non-Profit Open Software License 3.0</a>.,This software is made available under the <a href='https://opensource.org/licenses/NPOSL-3.0'>Non-Profit Open Software License 3.0</a>.,Diese Software wird bereitgestellt unter der <a href='https://opensource.org/licenses/NPOSL-3.0'>Gemeinnützigen offenen Softwarelizenz 3.0</a>.,Este software está disponible bajo la <a href='https://opensource.org/licenses/NPOSL-3.0'> Licencia de software abierta sin fines de lucro 3.0 </a>.,Este software é disponibilizado sob a <a href='https://opensource.org/licenses/NPOSL-3.0'> Non-Profit Open Software License 3.0</a>.
LiftsCleared,Lifts cleared,Les essais ont été effacés,,,Løft slettet,Попытки сброшены,Lyft klara,Hebungen gelöscht,Ascensores despejados,Resultados Excluídos
LocalComputer,\u0020(on the computer running the owlcms program),\u0020(sur l'ordinateur où owlcms s'exécute),,,\u0020(på computeren der afvikler owlcms programmet),\u0020(на компьютере на котором запущена система owlcms),\u0020(på datorn som driver owlcms programmet),\u0020(auf diesem Computer läuft das OWLCMS Programm),\u0020(en la computadora que se ejecuta el programa owlcms),\u0020 (No computador que executa o programa owlcms)
Locale,Locale,Locale,,,Locale,Локаль,Locale,Gebietsschema,Lugar,Localidade
Log_In,Log in,Identification,,,Log in,Логин,Logga in,Log in,Iniciar Sesión,Conecte-se
Login,Login,Identification,,,Login,Логин,Logga in,Login,Iniciar Sesión,Conecte-se
LoginDenied,Incorrect Access Information Provided.,Information d'accès incorrecte,,,Incorrect Access Information Provided.,Доступ запрещен,Felaktig access information försedd,Unberechtigter Zugriff festgestellt.,Incorrecta la informacion de Acceso.,Acesso a Informações incorretas fornecidas.
Lot,Lot,Tirage,,,Lodt.,Жребий,Lott,Los,Lote,Lote
margin-bottom,margin-bottom,margin-bottom,,,margin-bottom,margin-bottom,margin-bottom,rand-unten,margen inferior,margem-inferior
Marshall,Marshall,Préposé aux changements,,,Marshall,Судья на перезаявках,Sekreterare,Steigerung,Marshall,Marshall
MaximumWeight,Maximum Weight,Poids maximum,,,Maximum vægt,Максимальный вес,Maximum vikt,Maximales Gewicht,Peso Maximo,Peso máximo
MetalPlates,Metal Plates,Plaques de métal,,,Små skiver,Маленькие диски,Viktskivor,Metallscheiben,Pesas de metal,Placas de metal
MinimumWeight,Minimum Weight,Poids minimum,,,Minimum vægt,Минимальный вес,Minimum vikt,minimales Gewicht,Peso Maximo,Peso mínimo
Name,Name,Nom,,,Navn,Название,Namn,Name,Nombre,Nome
No_weighed_in_athletes,No weighed-in athletes,Pas d'athlètes pesés,,,Ikke-indvejede atleter,Нет спортсменов прошедших взвешивание,Inga invägda atleter,Nicht gewogen in Athleten,Atleta sin Peso,Nenhum Atleta Foi Pesado
NoGroupSelected,No group selected,Pas de groupe sélectionné,,,Ingen gruppe valgt,Поток не выбран,Ingen grupp vald,Keine Gruppe ausgewählt,Sin Grupo Seleccionado,Nenhum grupo selecionado
NoLift_GoodLift,"{0,choice,0#No Lift|1#Good Lift} for {1}","Essai {0,choice,0#refusé|1#réussi} pour {1}",,,"{0,choice,0#Underkendt|1#Godkendt} for {1}","{0,choice,0#Подъём не засчитан|1#Подъём засчитан} для {1}","{0,val,0#Underkänt lyft|1#Godkänt lyft} for {1}","{0,choice,0#Ungültig|1#Gültig} for {1}","{0,choice,0#Mal Levantamiento|1#Buen Levantamiento} para {1}","{0,choice,0#Invalido |1# Valido} para {1}"
none,none,aucun,,,ingen,ни один,ingen,keine,ninguno,Nenhum
NonStandardBar,Non-Standard Bar,Barre non-standard,,,Ikke-standard Stang,Нестандартный гриф,Icke-standard skivstång,Keine Standard Hantel?,Barra no estandar,Barra não Padrão
Not_weighed,Not weighed,Non pesé,,,Ikke indvejet,Не прошел взвешивание,Ej invägd,Nicht gewogen,No Pesado,Não Pesado
Notes,Notes,Notes,,,Notater,Заметки,Antekningar,Notizen,Notas,Notas
Number,Number,Nº,,,Nummer,Рефери,Nummer,Nummer,Numero,Número
OWLCMS_Displays,OWLCMS - Displays,OWLCMS - Affichages,,,OWLCMS - Displays,OWLCMS - Экраны,OWLCMS - Skärmar,OWLCMS - Anzeigen,OWLCMS - Monitor,OWLCMS - Exibe
OWLCMS_Home,OWLCMS - Home,OWLCMS - Accueil,,,OWLCMS - Hjem,OWLCMS - Главная,OWLCMS - Hem,OWLCMS - Home,OWLCMS - Inicio,OWLCMS - Início
OWLCMS_Info,OWLCMS - About,OWLCMS - Info,,,OWLCMS - Om,OWLCMS - О системе,OWLCMS - Om,OWLCMS – Über,OWLCMS - Acerca de,OWLCMS - Sobre
OWLCMS_Lifting,OWLCMS - Lifting,OWLCMS - Groupe,,,OWLCMS - Afvikling,OWLCMS - Поток,OWLCMS - Lyftning,OWLCMS - Heben,OWLCMS - Levantamiento,OWLCMS - Levantamento
OWLCMS_Preparation,OWLCMS - Preparation,OWLCMS - Préparation,,,OWLCMS - Forberedelse,OWLCMS - Подготовка,OWLCMS - Förberedelser,OWLCMS - Vorbereitung,OWLCMS - Preparación,OWLCMS - Preparação
OWLCMS_Results,OWLCMS - Results,OWLCMS - Résultats,,,OWLCMS - Resultater,OWLCMS - Результаты,OWLCMS - Resultat,OWLCMS - Ergebnisse,OWLCMS - Resultados,OWLCMS - Resultados
OwlcmsBuild,OWLCMS v{0} ({1}),OWLCMS v{0} ({1}),,,OWLCMS v{0} ({1}),OWLCMS v{0} ({1}),OWLCMS v{0} ({1}),OWLCMS v{0} ({1}),OWLCMS v{0} ({1}),OWLCMS v {0} ({1})
PauseCountdown,Pause Break Countdown Timer,Stopper le chrono de pause,,,Pause Countdown Timer,Остановить таймер,Paus klocka,Pause Break Countdown Uhr,Pausa temporizador de cuenta regresiva,Pausa Pausa Temporizador
Plates,Plates,Plaques,,Disques,Skiver,Диски,Viktskivor,Scheiben,Pesas,Pesos
PlatesDisplay,Plates Display,Plaques,,Disques,Skive display,Диски,Viktskivor Skärm,Scheiben Anzeige,Monitor Discos,Exibição das Anilhas
Platform,Platform,Plateau,,,Platform,Помост,Plattform,Bohle,Tarima,Plataforma
PlatformName,Platform Name,Nom de la plateforme,,,Platform Navn,Название помоста,Plattforms namn,Bohlen Name,Nombre de la tarima,Nome da Plataforma
PleaseFix,Please fix the errors and try again.,Veuillez corriger les erreurs et réessayer.,,,Ret venligst fejlene og prøv igen,"Пожалуйста, исправьте ошибки и попробуйте снова.",Rätta till felen och försök igen,Fehler beheben und nochmal versuchen,Por favor corrija los errores e intente nuevamente,Corrija os erros e tente novamente.
PreCompetitionSetup,Pre-competition setup,Préparation de la compétition,,,Pre-competition setup,Подготовка соревнований,Inställningar före tävlingen,Setup vor dem Wettkampf,Configuración Previa a la Competencia,Configuração (Pré-Competição)
Preferences,Preferences,Préférences,,,Præferencer,Предпочтения,Inställningar,Einstellungen,Preferencias,Preferências
Preparation_Categories,Categories,Catégories,,,Kategorier,Категории,Klasser,Gewichtsklassen,Categorías,Categorias
Preparation_Competition,Competition,Compétition,,,Konkurrence,Соревнования,Tävling,Wettkampf,Competencia,Competição
Preparation_Groups,Groups,Groupes,,,Grupper,Потоки,Grupper,Gruppen,Grupos,Grupos
Preparation_Platforms,Platforms,Plateformes,,,Platforme,Помосты,Plattformar,Bohlen,Plataformas,Plataformas
Preparation_Registration,Registration,Inscriptions,,,Registrering,Регистрация, Registrering,Anmeldung,Registro,Registro
PrepareCompatition_description,"<li><b>{0}</b>: Enter the competition coordinates, register the athletes, define the groups, etc.<br></li>","<li><b>{0}</b>: Entrer les coordonnées, inscrire les athlètes, définir les groupes, etc.<br></li>",,,"<li><b>{0}</b>: Indtast konkurrence oplysninger, registrer atleter, definér grupper, osv.<br></li>","<li><b>{0}</b>: Введите место проведения соревнований, зарегистрируйте спортсменов, определите потоки и т.д.<br></li>","<li> <b> {0} </b>: Ange tävlingskoordinaterna, registrera idrottare, definiera grupper osv. </li> <li> <b> {0} </b>: Ange tävlingskoordinaterna, registrera idrottare, definiera grupperna osv. </li>","<li><b>{0}</b>: Gib die Wettkampfdaten ein, Registriere die Sportler, definiere Gruppen, usw.<br></li>","<li><b>{0}</b>: Registre las coordenadas de de la competencia, registre los atletas, definir los grupos, etc.<br></li>","<li><b>{0}</b>: Introduzir as coordenadas concorrência, registrar os atletas, definir os grupos, etc.<br></li>"
PrepareCompetition,Prepare Competition,Préparer la compétition,,,Forbered konkurrence,Подготовка,Förbered tävling,Bereite Wettkampf vor,Preparar la Competencia,Preparar Competição
Print,Print,Imprimer,,,Print,Печатать,Skriv ut,Drucke,Imprimir,Imprimir
ProduceResults,Produce Results,Produire les résultats,,,Udskriv resultater,Подготовить результаты,Producera resultat,Erstelle Ergebnisse,Producir Resultados,Produzir Resultados
ProjectRepository,<li>See the <a href='https://github.com/owlcms/owlcms4'>project repository</a> for binary releases and the full source.,<li>Voir le <a href='https://github.com/owlcms/owlcms4'>référentiel du projet</a> pour les packages d'installation et le code source.,,,<li>See the <a href='https://github.com/owlcms/owlcms4'>project repository</a> for binary releases and the full source.,См. <a href='https://github.com/owlcms/owlcms4'>репозиторий проекта</a> для бинарных релизов и полных исходных кодов.<br>,<li>See the <a href='https://github.com/owlcms/owlcms4'>project repository</a> for binary releases and the full source.,<li>Siehe <a href='https://github.com/owlcms/owlcms4'> Projekt-Repository</a> für binäre Veröffentlichungen und die vollständige Quelle.,<li> Ver el <a href='https://github.com/owlcms/owlcms4'> repositorio de proyectos </a> para versiones binarias y la fuente completa.,<li>Veja o <a href='https://github.com/owlcms/owlcms4'>repositório</a> para binários e a fonte completa.
Question,?,\u0020?,,,?,?,?,?,?,?
Rank,Rank,Rang,,,Placering,Место,Rank,Platzierung,Posición,Classificação
ReadingData_,Reading the data,Lecture des données,,,Læser data,Чтение данных,Läser datan,Neueinlesen der Daten,Leyendo los Datos,Leitura dos dados
Referee,Referee,Arbitre,,,Dommer,Рефери,Domare,Kampfrichter,Juez,Juiz
Referee_Mobile_Device,Referee (on mobile devices),Arbitre (sur appareils mobiles),,,Dommer (til mobile enheder),Рефери (мобильное устройство),Domare (mobila enheter),Kampfrichter (an mobilen Geräten),Juez (para dispositivos moviles),Árbitro (Dispositivos Móveis)
Referee1,Referee 1,Arbitre 1,,,Dommer 1,Рефери 1,Domare 1,Kampfrichter 1,Juez 1,Árbitro 1
