key,en,en_US,en_CA,es,es_419,es_ES,es_SV,es_EC,fr,fr_CA,fr_FR,pt,ru,de,sv,da,fi,no,fo,hu,ro,pl,hy,he,ar,el,ja,zh_HANT,et,ia,,
Display,Display,,,Pantalla,,Marcador,Marcador,Pantalla,Afficher,,,Exibição,Экран,Bildschirm,Skärm,Display,Näyttö,Skjerm,Display,Kijelző,Afişaj,Wyświetlacz,Էկրան,הצג,عرض,Επίδειξη,表情,顯示,Kuva,176,,Display
Competition.presentationTitle,Display and Printout,,,Pantalla e impresión,,Pantalla e impresión,Pantalla e impresión,Pantalla e impresión,Affichage et impression,,,Exibição e impressão,Экран и документация,Anzeige und Ausdruck,Display and Printout,Display og Udskrivning,Näyttö ja tulostus,Visning og utskrift,Display and Printout,Megjelenítés és nyomtatás,Afișare și imprimare,Wyświetlanie i wydruk,Էկրան և փաստաթղթեր,תצוגה והדפסה,العرض والطباعة,Εμφάνιση και εκτύπωση,表示と印刷,顯示及列印,Kuva ja prindi,177,,Display and Printout
Competition.defaultLocale,Display and printout language,,,Mostrar e Imprimir Idioma,,Mostrar e Imprimir Idioma,Mostrar e Imprimir Idioma,Mostrar e Imprimir Idioma,Langue d'affichage et d'impression,,,Idioma de exibição e impressão,Язык отображения и печати,Sprache für Anzeigen und Druckausgabe,Visa och skriv ut språk,Display og printout sprog,Näyttö ja kielen tulostus,Visnings- og utskriftsspråk,Display and printout language,Megjelenítési és nyomtatási nyelv,Limbajul de afișare și imprimare,Język wyświetlacza i wydruku,Ցուցադրման եւ տպման լեզու,שפת תצוגה והדפסה,لغة العرض والطباعة,Γλώσσα εμφάνισης και εκτύπωσης,表示および印刷言語,顯示及列印語言,Kuva ja prindi keel,178,,Display and printout language
AgeGroupCode,Display Short Code,,,Mostrar código corto,,Mostrar código corto,Mostrar código corto,Mostrar código corto,Code d'affichage bref,,,Exibir código curto,Код отображения,Funktionscode anzeigen,Display Short Code,Vis Short Code,Näytä lyhytkoodi,Vis kort kode,Display Short Code,Rövid kód megjelenítése,Afișează codul scurt,Wyświetl krótki kod,Ցուցադրել կարճ կոդը,הצג קוד קצר,عرض الرمز المختصر,Εμφάνιση σύντομου κώδικα,ショートコードを表示,顯示短代碼,Kuva lühikood,179,,Display Short Code
Card.ageDivision,Division,,,Categoría de edad,,División de Edad,División de Edad,Categoría de edad,Division,,,Divisão,Возрастная кат.,Einteilung,Division,Aldersinddelt,Divisioona,Aldersinndelt,Division,Korcsoport,Divizia,Dział,Տարիքային խ.,חלוקה,التقسيم,Διαίρεση,区分,分級,Divisioon,180,,Division
Documentation_Menu,Documentation,,,Documento,,Documentación,Documentación,Documento,Documentation,,,Documentação,Документация,Dokumentation,Dokumentation,Dokumentation,Dokumentit,Dokumentasjon,Documentation,Dokumentáció,Documentație,Dokumentacja,Փաստաթղթավորում,תיעוד,التوثيق,Απόδειξη με έγγραφα,印刷用ドキュメント,文件,Dokumentatsioon,181,,Documentation
Done,done,,,Terminada,,Terminada,Terminada,Terminada,terminé,,,Concluído,завершена,Fertig,klar,afsluttet,valmis,ferdig,done,Kész,Terminat,wykonane,Ավարտված,בוצע,منتهي,γινώμενος,終了,完成,valmis,182,,done
Done_period,Done.,,,Realizado,,Hecho,Hecho,Hecho,Terminé,,,Feito.,Завершено.,Fertig.,Klar.,Afsluttet.,Valmis.,Ferdig.,Done.,Kész,Terminat,Wykonane.,Ավարտված,בוצע.,منتهي.,Γινώμενος.,終了,完成。,Valmis,183,,Done.
STATE_DOWN_SIGNAL_VISIBLE,down signal is being shown,,,Se muestra la señal de bajada,,Se muestra la señal de tierra,Se muestra la señal de bajada,Se muestra la señal de bajada,le signal terre a été donné,,,Sinal de baixar está sendo mostrado,отображается сигнал (стрелка) вниз,Das Ab Signal wird angezeigt,nedsignal visas,ned signal vises,alassignaalin näyttämine,nedsignal vises,down signal is being shown,Le jelzés látható,este afișat semnalul jos,wyświetlany jest sygnał w dół,Ցուցադրել իջեցման (սլաք) ազդանշան,אות סיום מוצג,يتم عرض إشارة النزول,εμφανίζεται το σήμα κάτω,ダウン信号が表示されています,按鈕信號正在顯示,Alla-signaal kuvatakse,184,,down signal is being shown
DownloadRegistrationTemplate,Download Empty Registration Spreadsheet,,,Descargar hoja de cálculo vacía,,Descargar hoja de cálculo vacía,Descargar hoja de cálculo vacía,Descargar hoja de cálculo vacía,Obtenir une feuille d'inscription vide,,,Baixar a Planilha de Registro em Branco,Скачать шаблон таблицы регистрации,Download leere Registrierungs-Tabelle,Ladda ner ett tomt registreringsformulär,Download Tomt Registreringsark,Lataa tyhjä kilpailupöytäkirja,Last ned tomt registreringsark,Download Empty Registration Spreadsheet,Töltse le az Üres regisztrációs táblázatot,Descărcați tabeleul gol de înregistrare,Pobierz pusty arkusz rejestracyjny,Ներբեռնել գրանցման աղյուսակի շաբլոնը,הורד גיליון רישום ריק,تحميل جدول التسجيل الفارغ,Λήψη κενού αρχείου εγγραφής αθλητών,空の登録用スプレッドシートをダウンロード,下載空白報名表,Lae alla tühi registreerimiskaart,185,,Download Empty Registration Spreadsheet
DrawLotNumbers,Draw Lot Numbers,,,Sorteo,,Números Aleatorios,Números Aleatorios,Sorteo,Tirage au sort,,,Realizar Sorteio,Жеребьёвка,Generiere Losnummern,Skapa lottnummer,Tildel lodt. numre,Arvo lottonumerot,Trekk lot-nummer,Draw Lot Numbers,Generáljon sorszámokat,Generati numere,Przypisz numer losowy,Վիճակահանություն,הגרל מספרי השתתפות,سحب أرقام القرعة,Κλήρωση Lot αριθμών ,抽選番号の割り当て,抽籤,Jaga loosinumbrid,186,,Draw Lot Numbers
CountdownType.DURATION,Duration,,,Duración,,Duración,Duración,Duración,Durée,,,Duração,Длительность,Dauer,Varaktighet,Varighed,Kesto,Varighet,Duration,Időtartam,Durată,Czas trwania,Տեւողությունը,משך זמן,المدة,Διάρκεια,所要時間,時間長度,Kestus,187,,Duration
InvalidDurationFormat,Duration must be in format {0} -- Type {1} to get {2} minutes and {3} seconds.,,,La duración debe estar en formato {0} -- Tipo {1} llegar {2} minutos y {3} segundos.,,La duración debe estar en formato {0} -- Tipo {1} llegar {2} minutos y {3} segundos.,La duración debe estar en formato {0} -- Tipo {1} llegar {2} minutos y {3} segundos.,La duración debe estar en formato {0} -- Tipo {1} llegar {2} minutos y {3} segundos.,La durée doit être dans le format {0} -- Écrire {1} pour dire «{2} minutes et {3} secondes».,,,Duração deve estar no formato {0} - Tipo {1} para obter {2} minutos e {3} segundos.,Длительность должна быть в формате {0} -- Введите {1} чтобы получить {2} минут и {3} секунд.,Dauer muss in folgendem Format sein {0} -- Typ {1} fr {2} Minuten und {3} Sekunden.,Varaktigheten måste vara i format {0} -- Typ {1} för att få {2} minuter och {3} sekunder.,Varighed skal være i format {0} -- Tast {1} for at angive {2} minutter og {3} sekunder.,Kesto täytyy olla muodossa {0} -- Tyyppi {1} saadakseen {2} minuuttia ja {3} sekuntia.,Varigheten må være i formatet {0} -- skriv inn {1} for å få {2} minutter og {3} sekunder.,Duration must be in format {0} -- Type {1} to get {2} minutes and {3} seconds.,"Az időtartamnak a következő formátumban kell lennie: {0} -- írja be a következőt: {1}, hogy {2} percet és {3} másodpercet kapjon.",Durata trebuie să fie în formatul {0} -- Tastați {1} pentru a obține {2} minute și {3} secunde.,"Czas trwania musi być w formacie {0} — wpisz {1}, aby uzyskać {2} minut i {3} sekund.",Տեւողությունը պետք է լինի {0} ձեւաչափով - Մուտքագրեք {1} որպեսզի ստանալ {2} րոպե {3} վայրկյան:,משך זמן חייב להיות בפורמט {0} -- הקלד {1} כדי לקבל {2} דקות ו-{3} שניות.,يجب أن تكون المدة بالتنسيق {0} -- اكتب {1} للحصول على {2} دقيقة و {3} ثانية,Η διάρκεια πρέπει να είναι σε μορφή {0} -- Πληκτρολογήστε {1} για να λάβετε {2} λεπτά και {3} δευτερόλεπτα.,所要時間はフォーマット {0} で入力してください — {2}分{3}秒を得るには {1} と入力します,時間長度必須為格式 {0} -- 輸入 {1} 以獲得 {2} 分鐘和 {3} 秒。,Kestus peab olema formaadis {0} -- tüüp {1} {2} minutite ja {3} sekundite saamiseks.,188,,Duration must be in format {0} -- Type {1} to get {2} minutes and {3} seconds.
STATE_BREAK,during a break,,,Durante un descanso,,durante un descanso,Durante un Descanzo,Durante un descanso,qu'une pause est en cours,,,Uma pausa está em vigor,перерыв в действии,Eine Pause ist aktiv,pausen är igång,pause igang,tauon pituus,Pausen er i gang,during a break, szünetben,în timpul unei pauze,podczas przerwy,ընդմիջման ժամանակ,במהלך הפסקה,أثناء الاستراحة,κατά τη διάρκεια ενός διαλείμματος,休憩中,休息中,vahepausi ajal,189,,during a break
EditAgeGroups,Edit Age Groups and Categories,,,Editar Grupos de Edad y Divisiones,,Editar Grupos de Edad y Categorías,Editar Grupos de Edad y Categorías,Editar Grupos de Edad y Divisiones,Éditer les groupes d'âge et les catégories,,,Editar Faixas Etárias e Categorias,Редактирование возрастных групп,Bearbeite Altersklassen,Redigera åldersgrupper och viktklasser,Redigér Aldersgrupper og Kategorier,Muokkaa ikäryhmiä ja painoluokkia,Rediger aldersgrupper og vektklasser,Edit Age Groups and Categories,Szerkessze a sportolók korcsoport és súlycsoport adatait,Editați grupuri de vârstă și categorii,Edytuj grupy wiekowe i kategorie,Խմբագրել տարիքային խմբերը,ערוך קבוצות גיל וקטגוריות,تحرير الفئات العمرية,Επεξεργασία Ηλικιακών Ομάδων και Κατηγοριών,年齢層とカテゴリを編集する,編輯年齡組別與量級,Redigeeri vanusegruppe ja kategooriaid,190,,Edit Age Groups and Categories
EditAthletes,Edit Athlete Entries,,,Editar Datos de Entrada del Atleta,,Editar Entrada del Atleta,Editar Entrada del Atleta,Editar Datos de Entrada del Atleta,Éditer les athlètes,,,Editar Entrada do Atleta,Редактировать спортсменов,Bearbeite Meldungen der Sportler,Redigera lyftare,Ret tilmeldingsdata for Atleter,Muokkaa nostajan tietoja,Rediger utøverinformasjon,Edit Athlete Entries,Szerkessze a sportolói bejegyzéseket,Editați intrările sportivilor,Edytuj wpisy sportowców,Խմբագրել մարզիկներին,ערוך רשומות ספורטאים,تحرير بيانات الرياضيين,Επεξεργασία καταχωρήσεων αθλητών,選手登録の編集,編輯運動員報名資料,Redigeeri sportlaste algraskusi,191,,Edit Athlete Entries
EditAthletes_Groups,Edit Athlete Entries (adjust session assignments),,,Editar Datos de Entrada del Atleta (Ajustar la Asignación de Tanda),,Editar Datos de Entrada del Atleta (Ajustar la Asignación de Tanda),Editar Datos de Entrada del Atleta (Ajustar la Asignación del Grupo),Editar Datos de Entrada del Atleta (Ajustar la Asignación de Tanda),Éditer les athlètes (ajuster l'assignation des plateaux),Éditer les athlètes (ajuster l'assignation des sessions),,Editar Entrada dos Atletas (Configuração de Grupo),Редактировать спортсменов (изменение групп),Bearbeite Meldungen der Sportler (Gruppenzuordnung anpassen),Redigera lyftare (ändra gruppuppgifter),Ret tilmeldingsdata for Atleter (ret gruppe tildeling),Muokkaa nostajan tietoja (muokkaa ryhmän tietoja),Rediger utøverinformasjon (endre puljeinformasjon),Edit Athlete Entries (adjust session assignments),Sportolói bejegyzések szerkesztése (csoport hozzárendelések módosítása),Editați intrările sportivilor (ajustați sarcinile de grup),Edytuj wpisy zawodników (dostosuj przypisanie grup),Խմբագրել մարզիկներին(փոխել խմբերը),ערוך רשומות ספורטאים (התאם הקצאות למקצים),تحرير بيانات الرياضيين (تعديل تخصيص الجلسة),Επεξεργασία καταχωρίσεων αθλητών (προσαρμογή αναθέσεων συνεδρίας),選手登録の編集（セッションの割り当ての調整）,編輯運動員報名資料（調整場次指派）,Redigeeri sportlaste algraskusi (muuda gruppi),192,,Edit Athlete Entries (adjust session assignments)
EditCategories,Edit Categories,,,Editar Divisiones,,Editar Categorías,Editar Categorías,Editar Divisiones,Éditer les catégories,,,Editar Categorias,Редактировать категории,Bearbeite Gewichtsklassen,Redigera klasser,Ret vægtklasser,Muokkaa painoluokkia,Rediger kategorier,Edit Categories,Súlycsoport szerkesztése,Editați categorii,Edytuj kategorie,Խմբագրել բաժինները,ערוך קטגוריות,تحرير الفئات,Επεξεργασία Κατηγοριών,カテゴリを編集,編輯量級,Redigeeri kategooriaid,193,,Edit Categories
Edit_Groups,Edit Sessions,,,Editar Tandas,,Editar Tandas,Editar Grupos,Editar Tandas,Éditer les plateaux,Éditer les sessions,,Editar Sessões,Редактирование потоков,Bearbeite Gruppen,Redigera grupper,Ret sessioner,Muokkaa ryhmiä,Rediger puljer,Edit Sessions,Verseny csoportok szerkesztése,Editați sesiuni,Edytuj sesje,Խմբագրել խմբերը,ערוך מקצים,تحرير الجلسات,Επεξεργασία συνεδριών,セッションを編集,編輯場次,Redigeeri gruppe,194,,Edit Sessions
EditPlatforms,Edit Platforms,,,Editar Plataforma,,Editar Tarima,Editar Plataforma,Editar Plataforma,Éditer les plateformes,,,Editar Plataformas,Редактировать помосты,Bearbeite Bohlen,Redigera plattformar,Ret platform(-e),Muokkaa nostolavoja,Rediger plattformer,Edit Platforms,Versenydobogók szerkesztése,Editați platformele,Edytuj pomost,Խմբագրել մրցահարթակները,ערוך במות,تحرير المنصات,Επεξεργασία πλατφορμών,プラットフォームの編集,編輯比賽舞台,Redigeeri võistluspõrandaid,195,,Edit Platforms
EditRegisteredAthletes,Edit Registered Athletes,,,Editar Atletas Registrados,,Editar Atletas Registrados,Editar Atletas Registrados,Editar Atletas Registrados,Éditer les athlètes inscrits,,,Editar Atletas Registrados,Редактирование зарегистрированных спортсменов,Bearbeite registrierte Athleten,Redigera registrerade lyftare,Ret Registrerede Atleter,Muokkaa ilmoittautuneita nostajia,Rediger registrerte utøvere,Edit Registered Athletes,Regisztrált sportolók szerkesztése,Editați sportivii înregistrați,Edytuj zarejestrowanych sportowców,Խմբագրել գրանցված մարզիկներին,ערוך ספורטאים רשומים,تحرير بيانات الرياضيين المسجلين,Επεξεργασία Εγγεγραμμένων Αθλητών,選手登録の編集,編輯已登記運動員,Redigeeri sportlasi,196,,Edit Registered Athletes
Eligible,Eligible,,,Elegible,,Elegible,Elegible,Elegible,Éligible,,,Elegível,Инд. рейтинг,Berechtigt,Inkluderade,Medregnes,Osallistumisoikeus,Berettiget,Eligible,Választható,Eligibil,Odpowiedni,Անհատական վարկանիշ,כשיר,مؤهل,Εκλέξιμος,Eligible,符合資格,Sobiv,197,,Eligible
Eligible for Individual Ranking?,Eligible for individual ranking?,,,Elegible para ranking individual?,,¿Elegible para ranking individual?,Elegible para ranking individual?,Elegible para ranking individual?,Éligible au classement individuel ?,,,Elegíveis para o ranking individual?,Участвует в индивидуальном рейтинге?,Berechtigt auf Einzelwertung?,Berättigad för inviduell ranking?,Medregnes i individuel rangering?,Osallistumisoikeus yksilökilpailuun?,Berettiget for individuell plassering?,Eligible for individual ranking?,Alkalmas egyéni rangsorolásra?,Sunteți eligibil pentru clasamentul individual?,Czy kwalifikujesz się do rankingu indywidualnego?,Մասնակցու՞մ է անհատական վարկանշին,כשיר לדירוג אישי?,مؤهل للتصنيف الفردي؟,Επιλέξιμοι για ατομική κατάταξη;,個人ランキングの対象ですか？,符合個人排名資格？,Sobib individuaalarvestuseks?,198,,Eligible for individual ranking?
Competition.customScore,Enable custom score? ,,,¿Habilitar puntuación personalizada? (anular total con bonificación / penalizaciones),,¿Habilitar puntuación personalizada? (anular total con bonificación / penalizaciones),Habilitar puntuación personalizada? (anular total con bonificación / penalizaciones),¿Habilitar puntuación personalizada? (anular total con bonificación / penalizaciones),Permettre édition du score?,,,Ativar Pontuação Personalizada?,"Включить общий итог (сумма), по результатам (Р+Т)? (отображение в перезаявках)",Benutzerdefinierte Punktzahl aktivieren? (Gesamtsumme mit Bonus / Abzügen überschreiben),Enable custom score? (override total with bonus/penalties),Aktivér tilpasset score? (override total med tillæg/fradrag),Ota käyttöön mukautettu tulos? ,Vil du aktivere egendefinert poengsum? ,Gera serligan stigatal virknan?,Engedélyezi az egyéni pontszámot?,Activați scorul personalizat?,Włączyć wynik niestandardowy?,Ներառե՞լ ընդհանուր գումար (երկամարտ) ՝ ըստ արդյունքների (Պ + Հ): (ցուցադրել վերպատվերում),הפעל ניקוד מותאם אישית?,تمكين تسجيل النقاط المخصصة؟,Ενεργοποίηση προσαρμοσμένης βαθμολογίας; ,カスタムスコアを有効にしますか？,啟用自訂分數？,Luba kohandatud punktiarvestus?,199,,Enable custom score? 
EndBreak_StartLifting,"End Break, Start Lifting",,,"Fin del Descanso, Inicio del Levantamiento",,"Fin del Descanso, Inicio del Levantamiento","Fin de Descanso, Comenzar a Levantar","Fin del Descanso, Inicio del Levantamiento","Fin de la pause, débuter les levers",,,"Fim da Pausa, Iniciar Competição","Закончить перерыв, начать соревнования","Unterbrechung Ende, Starte Hebung",Avlsuta pausen,"Afslut pause, Start konkurrence","Lopeta tauko, Aloita nostot","Avslutt pause, start konkurranse","End Break, Start Lifting","Szünet vége, emelés indítása","Încheiați pauza, începeți ridicarea","Zakończ przerwę, rozpocznij podnoszenie","Ավարտել ընդմիջումը, սկսել մրցումը","סיום הפסקה, התחלת הרמות",إنهاء الاستراحة، بدء الرفع,"End Break, Start Lifting",休憩終了、リフティング開始,結束休息、開始舉重,"Lõpeta vahepaus, alusta võistlusega",200,,"End Break, Start Lifting"
EnterPin,Enter PIN,,,Ingrese su Pin,,Ingrese su Pin,Ingrese su Pin,Ingrese su Pin,Inscrire le code d'accès,,,Digite o Código PIN,Введите PIN-код,Eingabe PIN,Ange PIN,Indtast PIN,Anna PIN,Skriv inn PIN,Enter PIN,Írja be a PIN-kódot,Introduceți codul PIN,Wpisz PIN,Մուտքագրեք PIN- ը,הזן קוד PIN,أدخل الرقم السري,Εισαγάγετε το PIN,PINを入力してください,輸入PIN碼,Sisesta PIN,201,,Enter PIN
Results.Entry_abbrev,Entry,,,Total declarado,,Total declarado,Total declarado,Total declarado,Tot.Entrée,,,Total declarado,Заявленная сумма,Meldung ZK,Entry Tot.,Entry Tot.,Entry Tot.,Påmeldt total,Entry,Nevezési súly,Intrare Tot.,Wynik Zgł.,Նախնական երկամարտ,קרב שניים,إدخال,Είσοδος,申告,申告,Algraskus,202,,Entry
Card.entryTotal,Entry Total,,,Total de Entrada,,Total de Entrada,Total de Entrada,Total de Entrada,Total décl.,,,Entrada Total,Заявленная сумма,Meldung ZK,Ingång total,Start Total,Entry Yht.,Påmeldt total,Entry Total,Név. Súly,Total intrare,Wynik Zgłoszeniowy,Նախ. Երկ.,קרב שניים,إجمالي الإدخال,Σύνολο εισόδου,申告トータル,報名總和,Sisenemise kogusumma,203,,Entry Total
EntryTotal,Entry Total,,,Total de Entrada,,Total de Entrada,Total de Entrada,Total de Entrada,Total déclaré,,,Entrada Total,Начальный вес заявленный при регистрации (сумма),Meldung ZK,Ange total,Entry Total,Entry Yht.,Påmeldt total,Entry Total,Nevezési súly,Total intrare,Wynik Zgłoszeniowy,Գրանցման ժամանակ հայտարարված քաշը(երկամարտ),קרב שניים,إجمالي الإدخال,Σύνολο εισόδου,申告トータル,報名總和,Sisenemise kogusumma,204,,Entry Total
Error,Error,,,Error,,Error,Error,Error,Erreur,,,Erro,Ошибка,Fehler,Error,Error,Virhe,Feil,Feilur,Hiba,Eroare,Błąd,ՍԽԱԼ,שגיאה,خطأ,Σφάλμα,エラー,錯誤,Viga,205,,Error
Errors,Errors,,,Errores,,Errores,Errores,Errores,Erreurs,,,Erros,Ошибки,Fehler,Errors,Errors,Virheet,Feil,Feilir,Hibák,Erori,Błędy,ՍԽԱԼՆԵՐ,שגיאות,أخطاء,Σφάλματα,エラー,錯誤,Vead,206,,Errors
Competition.federationTitle,Federation,,,Federación,,Federación,Federación,Federación,Fédération,,,Federação,Федерация,Verband,Förbund,Forbund,Liitto,Forbund,Upplýsingar um fyriskipararnar,Szövetség,Federaţie,Federacja,Ֆեդերացիա,התאחדות,الاتحاد,Ομοσπονδία,連盟,聯盟,Liit,207,,Federation
Competition.federationAddress,Federation Address,,,Dirección postal de la Federación,,Dirección postal de la Federación,Dirección postal de la Federación,Dirección postal de la Federación,Adresse de la fédération,,,Endereço da Federação,Адрес федерации,Verbandsadresse,Förbundets adress,Forbundsadresse,Osoite,Forbundsadresse,Bústaður,Szövetség címe,Adresa Federației,Adres Federacji,Ֆեդերացիայի հասցեն,כתובת התאחדות,عنوان الاتحاد,Διεύθυνση Ομοσπονδίας,連盟住所,聯盟地址,Liidu aadress,208,,Federation Address
Competition.federationEMail,Federation e-mail,,,E-mail de la Federación,,E-mail de la Federación,E-mail de la Federación,E-mail de la Federación,Courriel de la fédération,,,E-mail da Federação,Электронная почта федерации,Verbands-Email,Förbundets mail,Forbunds e-mail,Tulokset sposti:,Forbundets e-post,Teldupostur,Szövetség e-mail címe,e-mailul federației,Adres poczty internetowej Federacji,Ֆեդերացիայի e-mail,דואר אלקטרוני של התאחדות,البريد الإلكتروني للاتحاد,E-mail της Ομοσπονδίας,連盟メールアドレス,聯盟電子郵件,Liidu e-mail,209,,Federation e-mail
Competition.federation,Federation Name,,,Nombre de la Federación,,Nombre de la Federación,Nombre de la Federación,Nombre de la Federación,Nom de la fédération,,,Nome da Federação,Название федерации,Verbandsname,Förbundets namn,Forbundsnavn,Liiton nimi,Forbundsnavn,Navn sambandsins,Szövetség Neve,Numele federației,Nazwa Federacji,Ֆեդրացիայի անունը,שם התאחדות,اسم الاتحاد,Όνομα ομοσπονδίας,連盟名 / 連盟名称,聯盟名稱,Liidu nimi,210,,Federation Name
Competition.federationWebSite,Federation Web Site,,,Sitio Web de la Federación,,Sitio Web de la Federación,Sitio Web de la Federación,Sitio Web de la Federación,Site web de la fédération,,,Site da Federação,Веб-сайт федерации,Verbandswebseite,Förbundets hemsida,Forbunds Web Site,Liiton nettiosoite,Forbundets nettsted,Heimasíða,Szövetség web-oldala,Site-ul web al Federației,Witryna internetowa Federacji,Ֆեդերացիայի կայքը,אתר האינטרנט של ההתאחדות,الموقع الإلكتروني للاتحاد,Ιστοσελίδα της Ομοσπονδίας,連盟ウェブサイト,聯盟網站,Liidu veebilehekülg,211,,Federation Web Site
FieldOfPlayDisplays,Field of Play Displays,,,Campo para Anuncios,,Campo para Anuncios,Campo para Anuncios,Campo para Anuncios,Affichages sur les plateaux,,,Campo Para os Anúncios,Экраны помоста,Feld zum Abspielen der Anzeigen,Visningsfält skärm,Platform Displays,Kilpailualueen näytöt,Skjermer for konkurranseområde,Field of Play Displays,Helyi Verseny Kijelzők,Monitoarele la locul competiției,Wyświetlacze zawodów,Հարթակի էկրան,מסכי במה,مجال العرض,Εμφανίζει το πεδίο παιχνιδιού,競技場表示,比賽場地顯示,Võistlusala ekraanid,212,,Field of Play Displays
FinalResultsPackage,Final Results Package,,,Paquete de Resultados Finales,,Conjunto de Resultados Finales,Paquete de Resultados Finales,Paquete de Resultados Finales,Compilation des résultats,,,Pacote de Resultados Finais,Пакет итоговых результатов,Endgültiges Ergebnis Paket,Slutresultatpaket,Final Results Pakke,Lopullinen tulospaketti,Sluttresultatpakke,Endalig úrslit - Samla,Végső eredménycsomag,Pachetul de rezultate finale,Pakiet wyników końcowych,Վերջնական արդյունքները փաթեթ,חבילת תוצאות סופיות,حزمة النتائج النهائية,Πακέτο τελικών αποτελεσμάτων,最終結果一式,最終成績單,Lõpptulemuse kataloog,213,,Final Results Package
FirstName,First Name,,,Nombre,,Nombre,Nombre,Nombre,Prénom,,,Nome,Имя,Vorname,Förnamn,Fornavn,Etunimi,Fornavn,Fornavn,Kersztnév,Nume,Imię,Անուն,שם פרטי,الاسم الأول,Ονομα,名前（名）,名字,Eesnimi,214,,First Name
Competition.genderOrderExplanation,"For competitions with mixed sessions, in order to reduce the number of breaks and bar changes, call all girls first as a subsession.",,,"Para competencias con tandas mixtas, para reducir el número de descansos y cambios de barra, llame a todas las damas primero como un subgrupo.",,"Para competencias con tandas mixtas, para reducir el número de descansos y cambios de barra, llame a todas las damas primero como un subgrupo.","Para competencias con tandas mixtas, para reducir el número de descansos y cambios de barra, llame a todas las damas primero como un subgrupo.","Para competencias con tandas mixtas, para reducir el número de descansos y cambios de barra, llame a todas las damas primero como un subgrupo.","Dans une compétition avec groupes mixtes, afin de réduire le nombre de pauses et de changements d'haltère, appeler toutes les filles en premier en tant que sous-groupe.",,,"Para competições com grupos mistos, a fim de reduzir o número de pausas e mudanças de barra, chame todas as meninas primeiro como um subgrupo.","Доля соревнований со смешанными группами, с целью уменьшения количества перерывов смены грифов, выступление сначала девушек в подгруппе.","Gib bei Wettkämpfen mit gemischten Gruppen alle weiblichen Athleten zuerst als Untergruppe an, um die Anzahl der Pausen und Hantelwechsel zu verringern.",För tävlingar med mixade grupper. Kan du ordna så att alla flickor lyfter först för att få färre skivstångsbyten.,"For stævner med mixed groups, start alle piger/kvinder først som en undergrupper for at reducere antallet af stangskift.","Sekotetuissa sarjoissa kilpailuissa taukojen ja tangon vaihdon vähentämiseksi, tyttöjä pyydetään aloittamaan ensiksi alaryhmänä.","For konkurranser med blandede kjønn i samme pulje, la alle jenter løfte først som en delpulje (for å redusere antall pauser og stangskifter).","For competitions with mixed sessions, in order to reduce the number of breaks and bar changes, call all girls first as a subsession.",Vegyes csoportos versenyeken a szünetek és a sávváltások számának csökkentése érdekében minden lányt először alcsoportként hívjunk.,"Pentru competițiile cu grupe mixte, pentru a reduce numărul de pauze și de schimbări de bară, chemați mai întâi toate fetele ca subgrup.","W przypadku zawodów z sesjami mieszanymi, aby zmniejszyć liczbę przerw i zmian gryfów, w pierwszej kolejności startują wszystkie kobiety jako podsesja.","Խառը խմբերի մրցումների համար, որպեսզի նվազեցնենք ծանրաձողի փոփոխությունների քանակը՝ սկզբում մասնակցում են աղջիկները, հետո տղաները:","בתחרויות עם מקצים מעורבים, כדי להפחית את מספר ההפסקות והחלפות המוט, קראו לכל הבנות תחילה כתת-מקצה.",في المسابقات ذات الجلسات المختلطة، لتقليل عدد الاستراحات وتغييرات القضبان، يتم استدعاء جميع الفتيات أولاً كفرعية.,"Για αγώνες με μικτά γρούπ, προκειμένου να μειωθούν τα διαλείμματα και οι αλλαγές μπάρας, καλέστε πρώτα όλα τα κορίτσια ως υπογκρούπ.",混合セッションの大会では、休憩やバーベル交換の回数を減らすために、女子選手を最初にサブセッションとして呼び出します,"混合場次的比賽中，為了減少休息和換槓鈴的次數，請先呼喚所有女性, 作為一個子場次。",Vaheaegade ja kangi vahetuste arvu vähendamiseks kutsutakse esmalt naissportlaste grupid.,215,,"For competitions with mixed sessions, in order to reduce the number of breaks and bar changes, call all girls first as a subsession."
ForEachCompetitionGroup,For each competition session,,,Para cada Tanda de Competencia,,Para cada Tanda de Competencia,Para cada Grupo de Competencia,Para cada Tanda de Competencia,Pour chaque plateau,Pour chaque session,,Resultados Para Cada Sessão,Для каждого потока,Für jede Wettkampfgruppe,För varje tävlingsgrupp,For hver session,Kilpailuryhmien tulokset,For hver pulje,For each competition session,Minden versenycsoportót,Pentru fiecare sesiune de concurs,Za każdą sesję konkursową,Յուրաքանչյուր խմբի համար,עבור כל מקצה תחרות,لكل مجموعة من المنافسات,Για κάθε διαγωνισμό,各大会セッションごとに,每個比賽場次,Iga võistlusgrupi jaoks,216,,For each competition session
