key,en,hy,es,es_ES,es_SV,es_EC,fr,fr_CA,fr_FR,da,ru,uk,sv,de,pt,,xx,pl,key,en
Config.Backdoor,Backdoor Access IP List (use with care),Ետեւի ֆոնի IP ցուցակ (օգտագործել զգուշությամբ),Backdoor Access IP List (use with care),Backdoor Access IP List (use with care),,,Adresses IP à accès direct (prudence!),,,Backdoor Access IP List (use with care),Backdoor Access IP List (use with care),Backdoor Access IP List (use with care),Backdoor Access IP List (use with care),Backdoor Access IP List (use with care),Backdoor Access IP List (use with care),,75,,Config.Backdoor,Backdoor Access IP List (use with care)
Bar,Bar,Ծանրաձող,Barra,Barra,,,Barre,,,Stang,Гриф,Гриф,Skivstång,Hantel,Barra,,76,Gryf,Bar,Bar
BarWeight,Bar Weight,Ծանրաձողի քաշը,Peso de la Barra,Peso de la Barra,,,Poids de la barre,,,Stangens vægt,Вес грифа,Вага грифа,Skivstångens vikt,Hantelgewicht,Peso da Barra,,77,Ciężar gryfu,BarWeight,Bar Weight
BreakType.FIRST_CJ,Before Clean&Jerk,Մինչև հրում,Antes Dos Tiempos,Antes Dos Tiempos,Antes Envión,Antes Envión,Avant l'épaulé-jeté,,,Før Stød,До толчка,До поштовха,Innan Stöt,Vor dem Stossen,Antes do Arremesso,,78,Before Clean&Jerk,BreakType.FIRST_CJ,Before Clean&Jerk
BreakType.BEFORE_INTRODUCTION,Before Introduction,Մինչև ներկայացում,Antes Introducción,Antes Introducción,,,Avant la présentation,,,Før præsentation,До представления,До представлення,Innan presentation,Vor der Vorstellung,Antes da Introdução,,79,Before Introduction,BreakType.BEFORE_INTRODUCTION,Before Introduction
BreakType.FIRST_SNATCH,Before Snatch,Մինչև պուկում,Antes Arrancada,Antes Arrancada,Antes arranque,Antes arranque,Avant l'arraché,,,Før Træk,До рывка,До ривка,Innan Ryck,Vor dem Reissen,Antes do Arranco,,80,Before Snatch,BreakType.FIRST_SNATCH,Before Snatch
Results.Best,Best,Արդ,Mejor,Mejor,,,Meilleur,,,Bedste,Best,Найкращий,Bästa,Best,Best,,81,Best,Results.Best,Best
ResetCategories.Warning_ResetCategories,Beware! This will reassign each athlete's category based on the active age groups.<br>You should review athletes that are eligible in several age groups to confirm the proper assignment.,"Ուշադրություն!  Սա կթարմացնի (վերանշանակել) բոլոր կատեգորիաները: <br> Ստուգեք այն մարզիկներին, ովքեր իրավունք ունեն այլ տարիքային խմբերում մասնակցել:",¡Cuidado! Esto reasignará la categoría de cada atleta en función de los grupos de edad activos. <br> Debe revisar los atletas que son elegibles en varios grupos de edad para confirmar la asignación adecuada.,¡Cuidado! Esto reasignará la categoría de cada atleta en función de los grupos de edad activos. <br> Debe revisar los atletas que son elegibles en varios grupos de edad para confirmar la asignación adecuada.,Cuidado! Esto reasignará la categoría de cada atleta en función de los grupos de edad activos. <br> Debe revisar los atletas que son elegibles en varios grupos de edad para confirmar la asignación adecuada.,Cuidado! Esto reasignará la categoría de cada atleta en función de los grupos de edad activos. <br> Debe revisar los atletas que son elegibles en varios grupos de edad para confirmar la asignación adecuada.,Attention! Ceci va réaffecter les athlètes à leur catégorie selon les groupes d'âges actifs. <br>Vous devrez vérifier les athlètes qui sont admissibles à plus d'un groupe d'âge s'ils peuvent s'inscrire ailleurs qu'à leur catégorie de défaut.,,,Advarsel! Dette vil indstille alle kategorier til default værdier baseret på aktive aldersgrupper.<br>Du bør kontrollere alle atleter der kan passe ind i flere aldersklasser for om de afviger fra default reglen.,"Внимание! Это приведёт к обновлению (переназначению) всех категорий.<br>Проверьте спортсменов, которые имеют право на участие в других возрастных группах.","Обережно! Буде оновлено категорію кожного спортсмена на основі активних вікових груп.<br>Вам слід перевірити спортсменів, які мають право на участь у кількох вікових групах, щоб підтвердити правильне призначення.",Beware! This will reassign each athlete's category based on the active age groups.<br>You should review athletes that are eligible in several age groups if they can derogate from the default rule.,"Achtung! Dadurch werden alle Gewichtsklassen basierend auf den aktiven Altersklassen auf den Standardwert zurückgesetzt.<br>Sie sollten Athleten prüfen, die in mehreren Altersklassen zugelassen sind, wenn sie von der Standardregel abweichen können.","Cuidado! Isso reatribuirá a categoria de cada atleta com base nas faixas etárias ativas. <br> Você deve revisar os atletas que são elegíveis em várias faixas etárias, se puderem ignorar a regra padrão.",,82,Beware! This will reassign each athlete's category based on the active age groups.<br>You should review athletes that are eligible in several age groups to confirm the proper assignment.,ResetCategories.Warning_ResetCategories,Beware! This will reassign each athlete's category based on the active age groups.<br>You should review athletes that are eligible in several age groups to confirm the proper assignment.
BirthDate,Birth Date,Ծննդյան ամսաթիվ,Fecha de nacimiento,Fecha de nacimiento,,,Date naissance,,,Født,Дата рождения,Дата народження,Födelsedatum  ,Geburtsdatum,Data de Nascimento,,83,Data urodzenia,BirthDate,Birth Date
Card.birthDate,Birth Date,Ծ/Թ,Fecha de nacimiento,Fecha de nacimiento,,,Naissance,,,Født,Дата рождения,Дата народження,Födelsedatum  ,Geburtsdatum,Data de Nascimento,,84,Data urodzenia,Card.birthDate,Birth Date
BirthDate_yyyy,Birth Date (yyyy-mm-dd),Ծննդյան ամսաթիվ (տտտտ-աա-օօ),Fecha de nacimiento (yyyy-mm-dd),Fecha de nacimiento (yyyy-mm-dd),,,Date naissance (yyyy-mm-dd),,,Født (yyyy-mm-dd),Дата рождения (yyyy-mm-dd),Дата народження (yyyy-mm-dd),Födelsedatum (yyyy-mm-dd),Geburtsdatum (dd-mm-yyyy),Data de Nascimento (aaaa-mm-dd),,85,Data urodzenia (yyyy-mm-dd),BirthDate_yyyy,Birth Date (yyyy-mm-dd)
BirthDate_cannot_future,Birth date cannot be in the future,Ծննդյան ամսաթիվը չի կարող լինել ապագայում,Fecha de Nacimiento no puede ser en futuro,Fecha de Nacimiento no puede ser en futuro,,,La date de naissance ne peut pas être dans le futur.,,,Fødselsdato må ikke ligge i fremtiden,Дата рождения не может быть в будущем,Дата народження не може бути в майбутньому,Födelsedatum kan inte vara i framtiden,Das Geburtsdatum kann nicht in der Zukunft liegen,A data de nascimento não pode ser no futuro,,86,Data urodzenia nie możebyć z przyszłości,BirthDate_cannot_future,Birth date cannot be in the future
Registration.birth,Birth Date or Birth Year,Ծննդյան ամսաթիվը կամ ծննդյան տարին,Fecha o año de nacimiento,Fecha o Año de Nacimiento,,,Date ou année de naissance,,,Fødselsdato eller -år,Birth Date or Birth Year,Дата народження або Рік народження,Födelsedatum eller födelse år,Geburtsdatum oder Geburtsjahr,Data de nascimento ou ano de nascimento,,87,Birth Date or Birth Year,Registration.birth,Birth Date or Birth Year
light,Black on white,Արդյունքները՝ սպիտակ ֆոնի վրա,Negro y Blanco,Negro y Blanco,,,Noir sur blanc,,,Sort på Hvid,Результаты на белом фоне,Результати на білому фоні,Svart på vitt,Schwarz auf Weiss,Fundo Branco,,88,Black on white,light,Black on white
BodyWeight,Body Weight,Անձնական քաշը,Peso corporal,Peso corporal,,,Poids,,,Vægt,Собственный вес,Власна вага,Kroppsvikt,Körpergewicht,Peso Corporal,,89,Ciężar ciała,BodyWeight,Body Weight
Card.bodyWeight,Body Weight,Անձնական քաշը,Peso corporal,Peso corporal,,,Poids Corporel,,,Kropsvægt,Собственный вес,Власна вага,Kroppsvikt,Körpergewicht,Peso Corporal,,90,Ciężar ciała,Card.bodyWeight,Body Weight
BodyWeightCategories,Bodyweight Categories,Քաշային կարգեր,Categorías de Peso Corporal,Categorías de Peso Corporal,,,Catégories de poids,,,Vægtklasser,Весовые категории,Вагові категорії,Viktklasser,Gewichtsklassen,Categorias de Peso Corporal,,91,Bodyweight Categories,BodyWeightCategories,Bodyweight Categories
Scoreboard.Birth,Born,Ծ/Թ,Año,Año,,,Naiss.,,,Født,Год,Рік,Född,Gebohren,Nasc.,,92,Born,Scoreboard.Birth,Born
Results.Birth,Born,Ծ/Թ,Año,Año,,,Naiss.,,,Født,Год,Рік народження,Född,Gebohren,Nascimento,,93,Born,Results.Birth,Born
BreakButton.Caption,Break Timer,Կանգնեցնել ժամաչափը,Cronómetro de Descanso,Cronómetro de Descanso,Temporizador de Descanso,Reloj de Descanso,Chronomètre de pause,,,Pause Timer,Остановить таймер,Зупинити таймер,Paus timer,Break Timer,Pausa,,94,Break Timer,BreakButton.Caption,Break Timer
BreakType.Title,Break Type,Դադարի տեսակ,Tipo de Pausa,Tipo de Pausa,,,Type de pause,,,Pause Type,Тип паузы,Тип паузи,Paus typ,Art der Pause,Tipo de Pausa,,95,Break Type,BreakType.Title,Break Type
BumperPlates,Bumper Plates,Մեծ քարեր,Pesas grandes,Pesas grandes,,,Grandes plaques,,Disques,Store skiver,Большие диски,Великі диски,Vikt plattor,Hantelscheiben,Anilhas Grandes,,96,Obciążenia,BumperPlates,Bumper Plates
Division.U,By Age Group,Տարիքային խումբ,Grupo de Edad,Grupo de Edad,,,Par groupes d'âge,,,Aldersinddelt,Возрастная кат.,Вікова група,Åldersdelning,Altersklasse,Divisão de idade,,97,By Age Group,Division.U,By Age Group
Clean_and_Jerk_short,C.&J.,Հրում,D. T.,D. T.,Env.,Env.,É.-J.,,,Stød,Т.,П.,Stöt,St.,Arremesso,,98,Pd,Clean_and_Jerk_short,C.&J.
C_and_J_number,C.&J. #{0},Հրում #{0},DT #{0},DT #{0},Env. #{0},Env. #{0},É.-J. #{0},,,Stød nr. {0},Толчок {0},Поштовх {0},Stöt #{0},Stossen #{0},Arremesso # {0},,99,Pd #{0},C_and_J_number,C.&J. #{0}
C_and_J_1,C.&J. 1,Հրում 1,DT 1,DT 1,Env. 1,Env. 1,É.-J. 1,,,Stød 1,Т1,П1,Stöt 1,Stossen 1,1º Arremesso,,100,Pd 1,C_and_J_1,C.&J. 1
C_and_J_2,C.&J. 2,Հրում 2,DT 2,DT 2,Env. 2,Env. 2,É.-J. 2,,,Stød 2,Т2,П2,Stöt 2,Stossen 2,2º Arremesso,,101,Pd 2,C_and_J_2,C.&J. 2
C_and_J_3,C.&J. 3,Հրում 3,DT 3,DT 3,Env. 3,Env. 3,É.-J. 3,,,Stød 3,Т3,П3,Stöt 3,Stossen 3,3º Arremesso,,102,Pd 3,C_and_J_3,C.&J. 3
C_and_J_decl,C.&J. Decl.,Հրում,DT Decl.,DT Decl.,Env. Decl.,Env. Decl.,Décl. É.-J.,,,Stød Dekl.,Толчок,Поштовх,Ingång Stöt,Stossen Mldg.,Arremesso Decl.,,103,Pd dekl,C_and_J_decl,C.&J. Decl.
C_and_J_decl,C.&J. Decl.,Հրում,DT Decl.,DT Decl.,Env. Decl.,Env. Decl.,Décl. É.-J.,,,Stød Dekl.,Толчок,Поштовх,Ingång Stöt,Stossen Mldg.,Arremesso Decl.,,104,Pd dekl,C_and_J_decl,C.&J. Decl.
Results.CJ_abbrev,C&J,Հրում,DT,DT,Env.,Env.,E.-J.,,,Stød,C&J,Поштовх,Stöt,St.,Arrem.,,105,C&J,Results.CJ_abbrev,C&J
CantReadCell,Can't read cell,Հնարավոր չէ կարդալ բջիջը,No puede leer móvil,No puede leer móvil,No puedo leer celular,No puedo leer celular,Cellule impossible à interpréter,,,Kan ikke læse cellen,Не могу прочитать ячейку,Не можу прочитати комірку,Kan inte läsa cell,Kann Zelle nicht lesen,Não foi possível ler a célula,,106,Nie można odczytać komórki,CantReadCell,Can't read cell
Cancel,Cancel,Չեղարկել,Cancelar,Cancelar,,,Annuler,,,Annuller,Отмена,Відміна,Avbryt,Abbrechen,Cancelar,,107,Anuluj,Cancel,Cancel
Unexpected_event_state,Cannot {0} when {1}.,"Դուք չպետք է {0}, երբ {1}:",No se puede {0} cuando {1}.,No se puede {0} cuando {1}.,,,Ne pas {0} quand {1},,,Kan ikke {0} mens {1}.,"Вы не должны {0}, когда {1}.","Ви не повинні {0}, коли {1}.",Cannot {0} when {1}.,Kann nicht {0} wenn {1}.,Não pode {0} quando {1}.,,108,Cannot {0} when {1}.,Unexpected_event_state,Cannot {0} when {1}.
Scoreboard.Category,Cat.,Բաժ.,Cat.,Cat.,,,Cat.,,,Vægtklasse,Кат.,Кат.,Viktkl.,Gwkl.,Cat.,,109,Cat.,Scoreboard.Category,Cat.
Results.Category,Cat.,Բաժ․,Cat.,Cat.,,,Cat.,,,Vægtklasse,Кат.,Категорія,Viktklass,Gwkl.,Cat.,,110,Cat.,Results.Category,Cat.
Preparation_Categories,Categories,Բաժիններ,Categorías,Categorías,,,Catégories,,,Kategorier,Категории,Категорії,Viktklasser,Gewichtsklassen,Categorias,,111,Categories,Preparation_Categories,Categories
ResetCategories.CategoriesReset,Categories have been recomputed.,Բաժինները թարմացված են,Las categorías han sido recalculadas.,Las categorías han sido recalculadas.,,,Les catégories ont été recalculées.,,,Kategorier er blevt genberegnet,Категории были обновлены.,Категорії оновлено.,Categories have been recomputed.,Gewichtsklassen wurden neu berechnet.,As categorias foram recalculadas.,,112,Categories have been recomputed.,ResetCategories.CategoriesReset,Categories have been recomputed.
Card.category,Category,Բաժին,Categoría,Categoría,,,Catégorie,,,Kategori,Категория,Категорія,Viktklass,Gewichtsklasse,Categoria,,113,Kategoria,Card.category,Category
Category,Category,Բաժին,Categoría,Categoría,,,Catégorie,,,Vægtklasse,Категория,Категорія,Viktklass,Gewichtsklasse,Categoria,,114,Kategoria,Category,Category
Upload.CategoryNotFoundByName,"Category  ""{0}"" is not defined.","""{0}"" բաժինը սահմանված չէ:","Category ""{0}"" is not defined.","La Categoría ""{0}"" no está definida.","Categoria ""{0}""no esta definido.","Categoria ""{0}""no esta definido.","La catégorie ""{0}"" n'est pas définie.",,,"Vægtklassen ""{0}"" er ikke defineret","Category ""{0}"" is not defined.","Категорія ""{0}"" не визначена.","Viktklassen  ""{0}"" är inte definierad","Gewichtsklasse ""{0}"" ist nicht definiert.","A categoria ""{0}"" não foi definida.",,115,"Category  ""{0}"" is not defined.",Upload.CategoryNotFoundByName,"Category  ""{0}"" is not defined."
Upload.CategoryNotFound,"Category cannot be found using age={0}, gender={1}, weight={2}","Բաժինը հնարավոր չէ գտնել ՝ օգտագործելով տարիքը = {0}, սեռը = {1}, քաշը = {2}","Category cannot be found using age={0}, gender={1}, weight={2}","La Categoría no se puede encontrar utilizando edad={0}, género={1}, peso={2}","No se puede encontrar la categoría usando la edad={0}, genero={1}, peso={2}","No se puede encontrar la categoría usando la edad={0}, genero={1}, peso={2}","Categorie introuvable avec age={0}, genre={1}, poids={2}",,,"Kan ikke finde en vægtklasse med alder={0}, køn={1}, vægt={2}","Category cannot be found using age={0}, gender={1}, weight={2}","Категорія не знайдена для віку {0}, статі {1}, ваги {2}","Kan inte hitta en viktklass med ålder={0}, kön={1}, vikt={2}","Gewichtsklasse kann nicht für das benutzte Alter gefunden werden={0}, Geschlecht={1}, Körpergewicht={2}","A categoria não pode ser encontrada usando idade = {0}, gênero = {1}, peso = {2}",,116,"Category cannot be found using age={0}, gender={1}, weight={2}",Upload.CategoryNotFound,"Category cannot be found using age={0}, gender={1}, weight={2}"
Category_no_match_body_weight,Category does not match body weight.,Խումբը չի համապատասխանում մարզիկի քաշին,La categoría no coincide con el peso corporal.,La categoría no coincide con el peso corporal.,,,La catégorie ne correspond pas au poids corporel.,,,Vægtklasse matcher ikke med kropsvægt,Категория не соответствует весу спортсмена,Категорія не відповідає вазі спортсмена,Klassen matchar inte med kroppsvikten.,Gewichtsklasse passt nicht zum Körpergewicht,Categoria não coincide com o peso corporal.,,117,Kategoria nie odpowiada masie ciała.,Category_no_match_body_weight,Category does not match body weight.
Category_no_match_gender,Category does not match gender.,Խումբը չի համապատասխանում մարզիկի սեռին,La categoría no coincide con el género.,La categoría no coincide con el género.,,,La catégorie ne correspond pas au genre.,,,Vægtklasse matcher ikke med køn,Категория не соответствует полу спортсмена,Категорія не відповідає статі спортсмена,Klassen matchar inte med kön,Gewichtsklasse passt nicht zum Geschlecht,A Categoria não Corresponde ao Gênero.,,118,Kategoria nie odpowiada płci,Category_no_match_gender,Category does not match gender.
Category_no_match_age,Category does not match the age of the athlete.,Բաժինը չի համապատասխանում մարզիկի տարիքին,La categoría no coincide con la edad del Atleta.,La categoría no coincide con la edad del Atleta.,,,La catégorie ne correspond pas à l'âge de l'athlète.,,,Kategorien passer ikke til atletens alder.,Категория не соответствует возрасту спортсмена.,Категорія не відповідає віку спортсмена,Klassen matchar inte med lyftarens ålder,Die Gewichtsklasse entspricht nicht dem Alter des Athleten.,A categoria não corresponde à idade do atleta.,,119,Category does not match the age of the athlete.,Category_no_match_age,Category does not match the age of the athlete.
CompetitionBook.M6_LeftHeader,Category Ranking,Տեղը ՝ խմբում,Clasificación Categorías,Clasificación Categorías,Clasificación por Categorías,Clasificación por Categorías,Classement par catégories,,,Vægtklasse Placering,Место в категории,Місце в категорії,Viktklass placering,Platzierung Gewichtsklassen,Classificação da Categoria,,120,Ranking kategorii,CompetitionBook.M6_LeftHeader,Category Ranking
Cell,Cell,բջիջ,Celda,Celda,Cell,Cell,Cellule,,,Celle,Ячейка,Комірка,Cell,Zelle,Célula,,121,Komórka,Cell,Cell
Card.change1,Change 1,I փոփոխում,Cambio 1,Cambio 1,,,Changement 1,,,Ændring 1,Перезаявка 1,Перезаявка 1,Ändring 1,Steigerung 1,1ª Mudança,,122,Zmiana 1,Card.change1,Change 1
Change_1,Change 1,Փոփոխությունը 1,Cambio 1,Cambio 1,,,Changement 1,,,1. ændring,Перезаявка 1,Перезаявка 1,Ändring 1,Steigerung 1,1ª Mudança,,123,Zmiana 1,Change_1,Change 1
Card.change2,Change 2,II փոփոխում,Cambio 2,Cambio 2,,,Changement 2,,,Ændring 2,Перезаявка 2,Перезаявка 2,Ändring 2,Steigerung 2,2ª Mudança,,124,Zmiana 2,Card.change2,Change 2
Change_2,Change 2,Փոփոխություն 2,Cambio 2,Cambio 2,,,Changement 2,,,2. ændring,Перезаявка 2,Перезаявка 2,Ändring 2,Steigerung 2,2ª Mudança,,125,Zmiana 2 ,Change_2,Change 2
EVENT_BarbellOrPlatesChanged,change barbell or plates,Փոխել ծանրաձողը կամ կշռաքարերը,cambiar barra o discos,cambiar barra o discos,cambiar barra o platos,,changer les disques ou l'haltère,changer les plaques ou la barre,changer les disques ou l'haltère,skift stang eller skiver,заменить штангу или диски,замінити гриф або диски,Ändra skivstång eller vikter,Wechsle Hantel oder Scheiben,Mudar a Barra ou Anilhas,,126,change barbell or plates,EVENT_BarbellOrPlatesChanged,change barbell or plates
EVENT_WeightChanged,change requested weight,Փոխել հայտարարված քաշը,cambiar el peso solicitado,cambiar el peso solicitado,,,changer le poids demandé,,,ret ønsket vægt,изменить заявленный вес,змінити заявлену вагу,ändra önskad vikt,ändere das geforderte Gewicht,Alterar peso solicitado,,127,change requested weight,EVENT_WeightChanged,change requested weight
Competition.competitionCity,City,Քաղաք,Ciudad,Ciudad,,,Ville,,,By,Город,Місто,Stad,Stadt,Cidade,,128,Miejscowość,Competition.competitionCity,City
Card.cleanJerk,Clean&amp;Jerk,Հրում,Dos Tiempos,Dos Tiempos,Envión,Envión,Épaulé-jeté,,,Stød,Толчок,Поштовх,Stöt,Stossen,Arremesso,,129,Clean&amp;Jerk,Card.cleanJerk,Clean&amp;Jerk
Scoreboard.Clean_and_Jerk,Clean&amp;Jerk,Հրում,Dos Tiempos,Dos Tiempos,Envión,Envión,Épaulé-jeté,,,Stød,Толчок,Поштовх,Stöt,Stossen,Arremesso,,130,Clean&amp;Jerk,Scoreboard.Clean_and_Jerk,Clean&amp;Jerk
Clean_and_Jerk,Clean&Jerk,Հրում,Dos Tiempos,Dos Tiempos,Envión,Envión,Épaulé-jeté,,,Stød,Толчок,Поштовх,Stöt,Stossen,Arremesso,,131,Podrzut,Clean_and_Jerk,Clean&Jerk
Results.cleanJerk,Clean&Jerk,Հրում,Dos Tiempos,Dos Tiempos,Envión,Envión,Épaulé-jeté,,,Stød,Толчок,Поштовх,Stöt,Stossen,Arremesso,,132,Clean&Jerk,Results.cleanJerk,Clean&Jerk
Results.Clean_and_Jerk,Clean&Jerk,Հրում,Dos Tiempos,Dos Tiempos,Envión,Envión,Épaulé-jeté,,,Stød,Толчок,Поштовх,Stöt,Stossen,Arremesso,,133,Clean&Jerk,Results.Clean_and_Jerk,Clean&Jerk
Clean_and_Jerk_Declaration,Clean&Jerk Declaration,Նախնական քաշը հրումում,Declaración Dos Tiempos,Declaración Dos Tiempos,Declaración del Envión,Declaración del Envión,Déclaration É.-J.,,,Stød deklareret,Начальный вес в толчке,Початкова вага у поштовху,Angiven stöt,Stossen Meldung,Arremesso Declarado,,134,Podrzut dekl,Clean_and_Jerk_Declaration,Clean&Jerk Declaration
Clean_and_Jerk_Rank,Clean&Jerk Rank,Տեղը (հրում),Clasif. Dos Tiempos,Clasif. Dos Tiempos,Clasif. del Envión,Clasif. del Envión,Rang É.-J.,,,Stød rang,Место (Т),Місце (П),Angiven rank,Stossen Platzierung,Arremesso Ranking,,135,Podrzut miejsce,Clean_and_Jerk_Rank,Clean&Jerk Rank
ClearLifts,Clear Lifts,Զրոյացնել փորձը,Borrar intentos,Borrar intentos,Limpiar alzadas,Limpiar levantamientos,Effacer les levers,,,Slet løft,Сброс попыток,Скинути спроби,Ta bort lyft,Lösche Hebungen,Limpar Resultados,,136,Usuń podejście,ClearLifts,Clear Lifts
ClearLifts_forListed,Clear Lifts for Athletes Currently Listed,Զրոյացնել թվարկված փորձերը,Borrar Resultados Para Atletas Actualmente Listados,Borrar Resultados Para Atletas Actualmente Listados,Limpiar Resultados Para Atletas Atualmente Listados,Limpiar Resultados Para Atletas Atualmente Listados,Effacer les levers des athlètes sélectionnés,,,Slet løft for valgte atleter,Сброс перечисленных попыток,Скинути вказані спроби,Ta bort lyft för listade atleter,Lösche Hebungen für angezeigte Athleten,Limpar Resultados Para Atletas Atualmente Listados,,137,Usuń podejścia dla obecnych zawodników,ClearLifts_forListed,Clear Lifts for Athletes Currently Listed
ClearStartNumbers,Clear Start Numbers,Մաքրել սկսել համարները,Borrar números de inicio,Borrar números de inicio,Limpiar números de Inicio,Limpiar números de Inicio,Vider Nº départ,,,Ryd Start Nummer,Очистить стартовые номера,Скинути стартові номери,Ta bort startnummer,Lösche Startnummern,Limpar Números de Entrada,,138,Usuń numery startowe,ClearStartNumbers,Clear Start Numbers
reloadTranslationInfo,"Click to reload the translation file, then refresh your pages (F5).",Սեղմեք թարգմանության ֆայլը բեռնելու համար և թարմացրեք էջը (F5):,"Haga clic para volver a cargar el archivo, luego actualize sus páginas (F5).","Haga clic para volver a cargar el archivo, luego actualize sus páginas (F5).","Haga clic para volver a cargar el archivo, luego actualize sus paginas (F5).","Haga clic para volver a cargar el archivo, luego actualize sus paginas (F5).","Cliquer pour recharger le fichier de traduction, puis raffraîchir les pages.",,,"Click to reload the translation file, then refresh your pages (F5).","Нажмите для загрузки файла перевода, затем обновите страницу (F5).","Натисніть для завантаження файлу перекладу, потім оновіть сторінку (F5).",Klicka för att ladda om språkfil och uppdatera sedan sidan (F5).,Klicke um die Übersetzungsdatei neu zu laden und lade deine Seiten neu (F5).,"Clique para recarregar o arquivo de tradução, em seguida, atualizar suas páginas (F5).",,139,"Click to reload the translation file, then refresh your pages (F5).",reloadTranslationInfo,"Click to reload the translation file, then refresh your pages (F5)."
STATE_TIME_STOPPED,clock has been stopped,Հետհաշվարկը դադարեցված է,reloj ha sido detenido,reloj ha sido detenido,,,le chrono est arrêté,,,uret er blevet stoppet,время было остановлено,таймер зупинено,klockan har stoppats,Die Uhr wurde gestoppt,Relógio foi parado,,140,clock has been stopped,STATE_TIME_STOPPED,clock has been stopped
STATE_CURRENT_ATHLETE_DISPLAYED,clock has not started,հետհաշվարկը դեռ չի սկսվել,el reloj no ha comenzado,el reloj no ha comenzado,,,le chrono n'est pas démarré,,,uret er ikke startet,время ещё не включено,таймер ще не включено,klockan har inte startat,Die Uhr ist nicht gestartet,Relógio não começou,,141,clock has not started,STATE_CURRENT_ATHLETE_DISPLAYED,clock has not started
STATE_TIME_RUNNING,clock is running,Հետհաշվարկը սկսված է,el cronómetro está activado,el cronómetro está activado,el reloj corre,el reloj corre,le chrono est démarré,,,uret kører,время идёт,таймер працює,klockan är igång,Die Uhr ist gestartet,O Tempo está correndo,,142,clock is running,STATE_TIME_RUNNING,clock is running
CodeMustBeShort,Code should have less than 5 characters,Կոդը պետք է լինի 5 սիմվոլից քիչ,El código debe tener menos de 5 caracteres.,El código debe tener menos de 5 caracteres.,,,Le code devrait avoir moins de 5 caractères.,,,Koden skal være kortere end 5 karakterer,Код должен быть менее 5 символов,Код має бути коротше 5 символів,Koden ska vara kortare än 5 characters,Der Code sollte weniger als 5 Zeichen haben,O código deve ter menos de 5 caracteres,,143,Code should have less than 5 characters,CodeMustBeShort,Code should have less than 5 characters
Collar,Collar,Փական,Collarín,Collarín,Collarin,Collarin,Collet,,Bagues,Lås,Замок,Замок,Klov,Verschluss,Presilha,,144,Kołnierz,Collar,Collar
Competition,Competition,Մրցումներ,Competición,Competición,,Competencia,Compétition,,,Stævne,Соревнование,Змагання,Tävling,Wettkampf,Competição,,145,,Competition,Competition
CompetitionBook.C,Competition,Վերջնական ամփոփագիր,Competición,Competición,,Competencia,Compétition,,,Stævne,Итоговый протокол,Підсумковий протокол,Tävling,Wettkampf,Competição,,146,Zawody,CompetitionBook.C,Competition
CompetitionBook.W6_LeftHeader,Category Ranking,Տեղը ՝ խմբում,Clasificación Categorías,Clasificación Categorías,Clasificación por Categorías,Clasificación por Categorías,Classement par catégories,,,Vægtklasse Placering,Место в категории,Місце в категорії,Viktklass placering,Platzierung Gewichtsklassen,Classificação da Categoria,,120,Ranking kategorii,CompetitionBook.M6_LeftHeader,Category Ranking
Preparation_Competition,Competition,Մրցումներ,Competición,Competición,Competencia,Competencia,Compétition,,,Konkurrence,Соревнования,Змагання,Tävling,Wettkampf,Competição,,149,Competition,Preparation_Competition,Competition
Competition.informationTitle,Competition,Մրցույթ,Competición,Competición,Competencia,Competencia,Compétition,,,Stævne,Соревнование,Змагання,Tävling,Wettkampf,Competição,,150,Competition,Competition.informationTitle,Competition
Competition.resultTemplateFileName,Competition Book Template,Վերջնական ամփոփագրի շաբլոն,Plantilla de Libro de Competición,Plantilla de Libro de Competición,,,Gabarit pour cahier de compétition,,,Competition Book Skabelon,Шаблон итогового протокола,"Шаблон підсумкового протоколу",Tävlingsbok mall,Vorlage Wettkampfbuch,Modelo do livro de Competição,,151,Szablon książki zawodów,Competition.resultTemplateFileName,Competition Book Template
CompetitionBook.C_LeftHeader,Competition Information,Տեղեկություն մրցումների մասին,Información de la Competición,Información de la Competición,Información de la Competencia,Información de la Competencia,Paramètres et langue de la compétition,,,Stævneinformation,Информация о соревнованиях,Інформація про змагання,Tävlingsinformation,Wettkampf Info,Informações Sobre a Competição,,152,Informacje o zawodach,CompetitionBook.C_LeftHeader,Competition Information
PublicMsg.CompetitionPaused,Competition paused,Մրցումները դադարեցված են,Pausa Competición,Pausa Competición,Pausa Competencia,Pausa Competencia,Pause,,,Konkurrencen er på pause,Соревнования приостановлены,Змагання призупинені,Tävlingen är pausad,Wettkampf unterbrochen,Competição Pausada,,154,Competition paused,PublicMsg.CompetitionPaused,Competition paused
CompetitionPlatform,Competition Platform,Մրցահարթակ,Tarima de Competición,Tarima de Competición,Plataforma de Competencia,Plataforma de Competencia,Plateau de compétition,,,Stævne platform,Помост,Поміст,Tävling plattform,Wettkampf Bohle,Plataforma de Competição,,155,Competition Platform,CompetitionPlatform,Competition Platform
AgeDivision,Competition type,Տարիքային բաժիններ,Tipo de Competición,Tipo de Competición,Tipo de Competencia,Tipo de Competencia,Type de compétition,,,Stævne type,Возрастные группы,Тип змагань,Typ av tävling,Wettkampf Art,Tipo de Competição,,156,Competition type,AgeDivision,Competition type
